City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,piton saint-leu,-21.2196,55.3151,24.67,88,75,7.72,RE,1682402026
84,sarvar,47.2539,16.9352,9.92,72,88,4.58,HU,1682402026
85,piti village,13.4626,144.6933,31.49,75,75,6.17,GU,1682402026
86,palmas,-10.2128,-48.3603,22.93,100,40,2.57,BR,1682402026
87,walvis bay,-22.9575,14.5053,15.05,88,0,0.51,NA,1682402027
88,sao jose da coroa grande,-8.8978,-35.1478,24.14,87,19,2.26,BR,1682402027
89,grytviken,-54.2811,-36.5092,2.84,95,93,4.25,GS,1682402027
90,san antonio de pale,-1.4014,5.6325,28.03,71,97,2.07,GQ,1682402027
91,whitehorse,60.7161,-135.0538,2.43,60,75,5.66,CA,1682401879
92,sungai penuh,-2.0833,101.3833,20.47,96,100,0.25,ID,1682402028
93,ishigaki,24.3448,124.1572,23.07,88,75,3.6,JP,1682402028
94,south hedland,-20.4089,118.5983,29.96,54,79,5.66,AU,1682402028
95,macapa,0.0389,-51.0664,24.99,100,20,0.51,BR,1682402028
96,hamilton,39.1834,-84.5333,4.47,76,0,2.06,US,1682401730
97,lihue,21.9789,-159.3672,23.58,91,100,3.6,US,1682402029
98,tiksi,71.6872,128.8694,-5.43,88,100,6.11,RU,1682402029
99,san nicolas de los arroyos,-33.3358,-60.2252,16.02,86,100,0.38,AR,1682402029
100,villa gesell,-37.2639,-56.973,18.92,94,90,1.99,AR,1682402029
101,mogadishu,2.0371,45.3438,28.11,69,98,3.78,SO,1682402030
102,eirunepe,-6.6603,-69.8736,22.03,99,100,0.65,BR,1682402030
103,monrovia,6.3005,-10.7969,22.87,82,81,2.12,LR,1682401742
104,alice springs,-23.7,133.8833,28.75,26,1,2.06,AU,1682401987
105,stanley,54.868,-1.6985,0.39,89,0,2.06,GB,1682402031
106,arraial do cabo,-22.9661,-42.0278,21.2,85,10,1.88,BR,1682402031
107,nadym,65.5333,72.5167,-1.88,80,28,5.9,RU,1682402031
108,mount pearl,47.5166,-52.7813,1.64,96,100,7.2,CA,1682402031
109,ghat,24.9647,10.1728,23.19,27,1,0.88,LY,1682402031
110,zarinsk,53.7074,84.9493,4.28,40,41,7.26,RU,1682402032
111,puerto baquerizo moreno,-0.9,-89.6,25.23,81,50,2.96,EC,1682402032
112,kirensk,57.7853,108.1119,8.1,47,49,1.44,RU,1682402032
113,al kharijah,25.4514,30.5464,27.06,19,4,8.43,EG,1682402032
114,ancud,-41.8697,-73.8203,11.81,92,100,5.64,CL,1682402032
115,fort st. john,56.2499,-120.8529,3.94,81,75,4.12,CA,1682402033
116,bredasdorp,-34.5322,20.0403,16.57,72,75,1.11,ZA,1682402033
117,happy valley-goose bay,53.3168,-60.3315,1.17,80,20,1.54,CA,1682402033
118,nioki,-2.7167,17.6833,23.37,83,98,0.64,CD,1682402033
119,nova sintra,14.8667,-24.7167,19.76,77,0,8.41,CV,1682402033
120,kourou,5.1552,-52.6478,23.03,93,100,2.73,GF,1682402034
121,fortuna,40.5982,-124.1573,9.81,85,70,1.98,US,1682401881
122,nur-sultan,51.1801,71.446,16.97,34,0,6.0,KZ,1682402034
123,paramonga,-10.6667,-77.8333,23.36,85,89,3.48,PE,1682402034
124,berdigestyakh,62.0989,126.6992,-1.28,88,100,3.09,RU,1682402034
125,kingston,17.997,-76.7936,24.53,89,75,2.57,JM,1682401754
126,visby,57.6409,18.296,8.35,100,40,2.57,SE,1682402035
127,kerikeri,-35.2268,173.9474,16.06,75,11,2.46,NZ,1682402035
128,qaqortoq,60.7167,-46.0333,0.27,91,77,1.13,GL,1682402035
129,la'ie,21.6477,-157.9253,25.56,86,41,1.66,US,1682402035
130,aguadilla,18.4275,-67.1541,24.49,88,83,0.89,PR,1682402036
131,coahuayana de hidalgo,18.7,-103.6583,22.24,89,100,1.36,MX,1682402036
132,galliano,29.4422,-90.2992,20.0,68,0,4.12,US,1682402036
133,ust-tsilma,65.441,52.1498,-0.26,91,94,2.44,RU,1682402036
134,pangkalanbuun,-2.6833,111.6167,31.42,60,97,1.01,ID,1682402036
135,igarka,67.4667,86.5833,2.01,100,99,5.77,RU,1682402037
136,santana,-0.0583,-51.1817,25.1,100,20,0.51,BR,1682402037
137,cibitoke,-2.8833,29.25,17.95,84,100,0.64,BI,1682402037
138,nizhnesortymskiy,62.4397,71.7603,-2.06,91,86,4.08,RU,1682402037
139,west island,-12.1568,96.8225,28.99,70,75,9.26,CC,1682402037
140,suzun,53.7841,82.3116,6.18,28,36,5.23,RU,1682402038
141,east london,-33.0153,27.9116,19.52,88,75,3.09,ZA,1682402038
142,kavaratti,10.5669,72.642,28.04,68,57,2.62,IN,1682402038
143,marsa alam,25.0757,34.8918,25.59,48,8,8.86,EG,1682402038
144,cabo san lucas,22.8909,-109.9124,22.01,60,94,6.51,MX,1682402038
145,jamestown,42.097,-79.2353,2.77,88,100,0.89,US,1682402039
146,patacamaya,-17.2333,-67.9167,4.76,86,8,3.3,BO,1682402039
147,haiku-pauwela,20.9219,-156.3051,24.01,76,0,2.57,US,1682402039
148,vadso,70.0744,29.7487,0.09,69,40,9.77,NO,1682402039
149,kindu,-2.95,25.95,22.58,83,99,0.84,CD,1682402040
150,mukalla,14.5425,49.1242,29.33,59,91,2.77,YE,1682402040
151,bilibino,68.0546,166.4372,-2.7,75,4,0.77,RU,1682402040
152,tura,25.5198,90.2201,33.41,27,37,2.47,IN,1682402040
153,mejit,10.2753,170.8646,27.31,81,87,9.66,MH,1682402040
154,oral,51.2333,51.3667,15.99,63,40,6.0,KZ,1682402041
155,badger,64.8,-147.5333,-4.86,51,75,6.17,US,1682402041
156,ulety,51.3572,112.4849,11.28,16,56,4.2,RU,1682402041
157,quellon,-43.1167,-73.6167,11.14,100,100,4.12,CL,1682402041
158,tolanaro,-25.0319,46.9987,22.04,88,40,1.54,MG,1682402042
159,boa vista,2.8197,-60.6733,24.99,94,75,2.06,BR,1682402042
160,gadzhiyevo,69.2551,33.3362,-2.35,75,4,9.33,RU,1682402042
161,kapuskasing,49.4169,-82.4331,-1.95,86,100,3.6,CA,1682402042
162,dobroye,52.8678,39.8109,13.45,69,99,4.16,RU,1682402043
163,san pedro,14.35,121.0167,33.57,63,40,4.12,PH,1682402043
164,gulf breeze,30.3571,-87.1639,18.3,66,0,4.12,US,1682401988
165,harstad,68.799,16.5293,0.09,63,5,2.24,NO,1682402043
166,tralee,52.2704,-9.7026,2.02,88,60,2.96,IE,1682402044
167,atafu village,-8.5421,-172.5159,28.94,75,19,4.36,TK,1682402044
168,iskateley,67.6803,53.1512,-3.88,87,29,4.37,RU,1682402044
169,saint-joseph,-21.3667,55.6167,25.82,75,72,0.58,RE,1682402045
170,lata,40.1629,-8.3327,12.82,95,100,1.02,PT,1682402045
171,edgewater,28.9889,-80.9023,21.12,85,73,5.59,US,1682402045
172,st. john's,47.5649,-52.7093,2.1,96,100,8.05,CA,1682402045
173,qacha's nek,-30.1154,28.6894,13.97,37,87,1.3,LS,1682402046
174,ji'an,27.1172,114.9793,14.17,81,100,1.31,CN,1682402046
175,nyrob,60.733,56.7202,14.48,54,91,4.34,RU,1682402046
176,krasnyy yar,46.5331,48.3456,15.96,45,100,8.88,RU,1682402047
177,manacapuru,-3.2997,-60.6206,24.21,92,83,1.47,BR,1682402047
178,margaret river,-33.95,115.0667,13.75,83,100,9.68,AU,1682402047
179,mandalgovi,45.7625,106.2708,7.81,18,11,7.98,MN,1682402048
180,brandon,27.9378,-82.2859,22.18,85,100,4.63,US,1682402021
181,constantia,44.1833,28.65,12.61,80,84,7.41,RO,1682402048
182,aasiaat,68.7098,-52.8699,-7.54,100,98,2.6,GL,1682402048
183,san patricio,28.017,-97.5169,21.58,88,94,5.48,US,1682402049
184,smithers,54.7804,-127.1743,6.18,49,40,1.54,CA,1682402049
185,vilyuysk,63.7553,121.6247,-1.95,87,100,2.67,RU,1682402050
186,pedro betancourt,22.7272,-81.29,22.3,82,74,1.25,CU,1682402050
187,saldanha,-33.0117,17.9442,12.03,85,0,2.06,ZA,1682402050
188,weno,7.4515,151.8468,25.97,94,100,1.54,FM,1682402051
189,redencao,-4.2258,-38.7306,23.71,87,53,0.19,BR,1682402051
190,mili,6.0815,171.735,28.05,79,100,7.86,MH,1682402051
191,sorong,-0.8833,131.25,28.78,76,29,2.46,ID,1682402051
192,palikir - national government center,6.9248,158.1611,29.41,66,100,3.09,FM,1682402052
193,paranhos,-23.8928,-55.4311,17.41,97,4,2.88,BR,1682402052
194,yerofey pavlovich,53.9667,121.9667,3.31,32,80,2.44,RU,1682402052
195,wailua homesteads,22.0669,-159.378,23.24,90,100,3.6,US,1682402052
196,muynoq,43.7683,59.0214,23.07,25,36,10.4,UZ,1682402053
197,geraldton,-28.7667,114.6,20.23,52,40,5.14,AU,1682402053
198,firmat,-33.4594,-61.4832,16.62,80,100,1.53,AR,1682402053
199,indianola,41.3581,-93.5574,9.27,76,99,1.79,US,1682402054
200,fort bragg,35.139,-79.006,8.91,92,0,1.54,US,1682402054
201,kiunga,-6.1219,141.2906,29.72,76,89,2.04,PG,1682402054
202,isafjordur,66.0755,-23.124,-1.46,65,76,3.81,IS,1682402054
203,boguchany,58.3814,97.4531,8.68,76,100,3.57,RU,1682402054
204,lensk,60.7253,114.9278,3.51,49,93,2.15,RU,1682402055
205,talnakh,69.4865,88.3972,3.45,88,35,2.91,RU,1682402055
206,cambria,35.5641,-121.0808,16.24,67,17,3.91,US,1682402055
207,qamdo,31.1667,97.2333,6.37,14,87,1.42,CN,1682402055
208,yangambi,0.8102,24.4336,23.37,75,95,1.4,CD,1682402056
209,port douglas,-16.4833,145.4667,25.48,83,100,7.61,AU,1682402056
210,karratha,-20.7377,116.8463,30.76,39,68,4.73,AU,1682402056
211,sitka,57.0531,-135.33,0.94,86,100,2.06,US,1682402056
212,alesund,62.4723,6.1549,3.28,80,40,5.14,NO,1682402057
213,turkmenbasy,40.0222,52.9552,25.43,33,0,6.17,TM,1682402057
214,dunedin,-45.8742,170.5036,18.22,40,83,4.92,NZ,1682402058
215,kodiak,57.79,-152.4072,3.73,60,0,5.14,US,1682402058
216,kirakira,-10.4544,161.9205,27.73,78,98,1.2,SB,1682402058
217,la ronge,55.1001,-105.2842,4.14,48,75,5.14,CA,1682402058
218,mugia,43.1041,-9.2179,15.51,91,100,6.5,ES,1682402059
219,conception bay south,47.4999,-52.9981,1.97,96,100,6.67,CA,1682402059
220,corcoran,36.098,-119.5604,19.45,51,9,3.67,US,1682402059
221,acajutla,13.5928,-89.8275,27.52,70,100,2.17,SV,1682402060
222,vorgashor,67.5833,63.95,-6.96,91,76,2.31,RU,1682402060
223,kristiansund,63.1115,7.732,2.36,80,75,2.06,NO,1682402060
224,praia da vitoria,38.7333,-27.0667,17.14,94,75,5.54,PT,1682402060
225,bodo,67.28,14.405,1.02,56,0,7.72,NO,1682402061
226,bodaybo,57.8506,114.1933,2.44,62,100,1.65,RU,1682402061
227,papao,-17.75,-149.55,27.59,85,59,6.64,PF,1682402061
228,taber,49.8167,-112.1518,8.08,77,66,3.8,CA,1682402062
229,yunyang,33.4474,112.7142,21.51,36,21,2.25,CN,1682402062
230,talcahuano,-36.7167,-73.1167,11.82,87,100,2.06,CL,1682402062
231,solleftea,63.1667,17.2667,0.46,95,100,4.25,SE,1682402063
232,aykhal,66.0,111.5,-3.4,81,100,7.29,RU,1682402063
233,nyurba,63.2842,118.3319,-1.46,89,100,3.8,RU,1682402063
234,shenjiamen,29.9576,122.298,14.34,81,99,7.6,CN,1682402064
235,ha'il,27.5219,41.6907,19.01,77,0,2.06,SA,1682402064
236,uturoa,-16.7333,-151.4333,27.08,81,55,5.61,PF,1682402064
237,san juan de miraflores,-12.1629,-76.9635,23.29,80,79,2.55,PE,1682402064
238,mando,10.7167,6.5667,25.78,71,98,1.02,NG,1682402065
239,ilo,-17.6394,-71.3375,20.1,86,32,2.62,PE,1682402065
240,san rafael,-34.6177,-68.3301,15.13,58,0,2.18,AR,1682401811
241,drayton valley,53.2168,-114.9854,4.58,87,84,1.01,CA,1682402066
242,sisimiut,66.9395,-53.6735,0.47,84,99,2.53,GL,1682402066
243,khandyga,62.6667,135.6,1.26,86,100,0.74,RU,1682402066
244,manaure,11.7751,-72.4445,25.48,77,35,3.96,CO,1682402067
245,ta`u,-14.2336,-169.5144,28.02,76,24,2.86,AS,1682402067
246,sao vicente,-23.9631,-46.3919,22.21,26,5,0.45,BR,1682402067
247,kavieng,-2.5744,150.7967,28.6,77,65,3.96,PG,1682402068
248,serdar,38.9764,56.2757,31.3,14,36,10.99,TM,1682402068
249,vilyuchinsk,52.9306,158.4028,6.15,77,73,3.01,RU,1682402068
250,kot diji,27.3427,68.7083,34.01,9,100,4.95,PK,1682402069
251,nuuk,64.1835,-51.7216,2.34,87,100,1.54,GL,1682402069
252,mount gambier,-37.8333,140.7667,24.32,41,75,1.07,AU,1682402069
253,aden,12.7794,45.0367,28.57,75,37,6.46,YE,1682402070
254,sao felix do xingu,-6.6447,-51.995,20.48,97,100,0.78,BR,1682402070
255,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,42,75,6.0,RU,1682402070
256,mahina,-17.5065,-149.489,27.64,78,75,0.51,PF,1682402070
257,nombre de dios,23.85,-104.2333,14.77,34,96,2.84,MX,1682402071
258,queenstown,-31.8976,26.8753,16.16,54,12,0.47,ZA,1682402071
259,cabedelo,-6.9811,-34.8339,24.37,88,73,4.18,BR,1682402071
260,labasa,-16.4167,179.3833,25.15,83,97,2.18,FJ,1682402072
261,carbonear,47.7332,-53.2148,2.36,91,100,6.51,CA,1682401875
262,sidirokastro,41.2347,23.3867,12.4,82,43,1.52,GR,1682402072
263,sabancuy,18.9667,-91.1833,25.66,81,98,3.04,MX,1682402073
264,porbandar,21.6422,69.6093,31.64,43,100,1.94,IN,1682402073
265,ambon,-3.6954,128.1814,32.08,76,40,2.06,ID,1682402073
266,antonio enes,-16.2325,39.9086,24.3,79,64,3.83,MZ,1682402074
267,severo-yeniseyskiy,60.3725,93.0408,5.01,89,100,3.41,RU,1682402074
268,tongouson,5.0214,120.1328,28.87,69,81,1.94,PH,1682402074
269,mungyeong,36.5946,128.1995,9.65,86,100,1.47,KR,1682402074
270,albertina,-22.2008,-46.6158,12.74,90,0,1.96,BR,1682402075
271,shikarpur,27.9571,68.6379,33.94,9,99,3.97,PK,1682402075
272,port lincoln,-34.7333,135.8667,21.46,57,100,5.44,AU,1682402075
273,khlong luang,14.0647,100.6458,39.43,56,20,2.57,TH,1682402075
274,banda aceh,5.5577,95.3222,31.78,62,100,4.52,ID,1682402075
275,katima mulilo,-17.5,24.2667,22.39,47,28,4.46,NA,1682402076
276,colares,38.7992,-9.4469,15.61,88,75,7.15,PT,1682402076
277,lazaro cardenas,17.9583,-102.2,24.0,79,68,1.33,MX,1682402048
278,trairi,-3.2778,-39.2689,23.71,89,87,1.97,BR,1682402015
279,alaghsas,17.0187,8.0168,27.94,21,0,1.03,NE,1682402076
280,nacogdoches,31.6002,-94.6335,14.92,88,40,0.0,US,1682401638
281,yuzhno-kurilsk,44.0306,145.8556,7.1,43,1,3.67,RU,1682402077
282,barah,13.7,30.3667,32.23,32,96,5.31,SD,1682402077
283,midvagur,62.0511,-7.1939,0.46,80,100,5.66,FO,1682402077
284,lazarevskoye,43.9061,39.3331,11.31,88,100,4.3,RU,1682402077
285,crotone,39.0851,17.1178,15.66,66,73,4.31,IT,1682402078
286,fort mcmurray,56.7268,-111.381,3.77,93,0,2.06,CA,1682402078
287,lerwick,60.1545,-1.1494,3.0,62,68,9.15,GB,1682402078
288,jaicos,-7.3592,-41.1378,21.54,64,100,2.08,BR,1682402078
289,callao,-12.0667,-77.15,24.16,73,0,5.14,PE,1682402079
290,buala,-8.145,159.5921,28.77,75,96,2.24,SB,1682402079
291,bardai,11.65,7.2333,25.37,42,97,2.78,NG,1682402079
292,polyarnyy,69.1989,33.4478,-2.03,74,3,9.07,RU,1682402079
293,aginskoye,51.1,114.53,9.32,12,40,3.0,RU,1682402079
294,ayancik,41.9447,34.5861,8.93,71,6,1.67,TR,1682402080
295,barda,40.3744,47.1267,18.6,50,100,5.79,AZ,1682402080
296,skovorodino,53.9833,123.9167,4.0,34,100,4.23,RU,1682402080
297,porto novo,6.4965,2.6036,25.9,81,93,1.04,BJ,1682402080
298,pangai,-19.8,-174.35,27.06,78,75,0.0,TO,1682402081
299,poltavka,54.3663,71.7632,14.78,38,56,3.83,RU,1682402081
300,kalajoki,64.25,23.95,1.62,90,100,4.23,FI,1682402081
301,saudarkrokur,65.7461,-19.6394,-1.26,59,45,1.83,IS,1682402081
302,salinas,36.6777,-121.6555,11.9,82,0,3.09,US,1682402081
303,colac,-38.3333,143.5833,22.13,49,73,1.96,AU,1682402082
304,capanema,-1.1958,-47.1808,22.37,97,100,1.1,BR,1682402082
305,broken hill,-31.95,141.4333,25.08,32,33,4.39,AU,1682402082
306,zhuanghe,39.7008,122.9911,10.71,77,100,7.57,CN,1682402082
307,toulepleu guere,6.574,-8.4259,22.61,99,94,0.86,CI,1682402083
308,pitimbu,-7.4706,-34.8086,24.33,88,41,3.68,BR,1682402083
309,shingu,33.7333,135.9833,15.88,79,100,7.43,JP,1682402083
310,bage,-31.3314,-54.1069,16.88,94,0,3.09,BR,1682402083
311,najran,17.4924,44.1277,23.36,34,20,0.83,SA,1682402084
312,paciran,-6.8767,112.3761,30.26,63,87,2.99,ID,1682402084
313,holualoa,19.6228,-155.9522,23.91,80,75,2.57,US,1682402084
314,slave lake,55.2834,-114.769,4.99,75,75,4.12,CA,1682402084
315,oriximina,-1.7656,-55.8661,23.35,95,100,2.36,BR,1682402084
316,wenchang,30.904,118.4887,11.46,92,100,1.72,CN,1682402085
317,nouadhibou,20.931,-17.0347,17.99,88,0,5.66,MR,1682402085
318,lompoc,34.6391,-120.4579,10.89,81,0,8.49,US,1682402085
319,conceicao do araguaia,-8.2578,-49.2647,22.02,88,100,0.63,BR,1682402085
320,ormara,25.2088,64.6357,27.55,70,100,5.26,PK,1682402085
321,nar'yan-mar,67.6713,53.087,-3.82,86,28,4.39,RU,1682402086
322,bandarbeyla,9.4942,50.8122,30.19,63,67,4.73,SO,1682402086
323,cestos city,5.46,-9.5828,27.0,82,95,0.89,LR,1682402086
324,emerald,-23.5333,148.1667,27.41,37,0,8.14,AU,1682402086
325,szydlowiec,51.2282,20.8611,10.25,94,100,6.11,PL,1682402087
326,kenai,60.5544,-151.2583,3.05,60,100,2.06,US,1682401836
327,joshimath,30.5667,79.5667,17.89,53,71,3.16,IN,1682402087
328,auki,-8.7676,160.7034,28.02,80,64,0.66,SB,1682402087
329,labrador city,52.9463,-66.9114,-4.05,93,0,0.0,CA,1682402087
330,brak,27.5496,14.2714,20.82,40,5,6.88,LY,1682402088
331,eyl,7.9803,49.8164,29.02,67,97,3.2,SO,1682402088
332,sefrou,33.8319,-4.828,10.53,50,0,3.09,MA,1682402088
333,tambacounda,13.7539,-13.7586,26.4,46,4,3.19,SN,1682402088
334,hithadhoo,-0.6,73.0833,29.34,72,82,4.75,MV,1682402088
